State,Year,Income
New York,2002,31820
New York,2003,32556
New York,2004,33899
New York,2005,34712
New York,2006,36957
New York,2007,39227
New York,2008,39951
New York,2009,40753
New York,2010,42053
New York,2011,43266
New York,2012,45415
New York,2013,44695
New York,2014,46088
North Carolina,1984,10535
North Carolina,1985,11179
North Carolina,1986,11920
North Carolina,1987,12591
North Carolina,1988,13707
North Carolina,1989,14661
North Carolina,1990,15425
North Carolina,1991,15926
North Carolina,1992,17103
North Carolina,1993,17824
North Carolina,1994,18521
North Carolina,1995,19386
North Carolina,1996,20244
North Carolina,1997,21205
North Carolina,1998,22077
North Carolina,1999,22798
North Carolina,2000,23834
North Carolina,2001,24168
North Carolina,2002,24685
North Carolina,2003,25727
North Carolina,2004,27583
North Carolina,2005,28859
North Carolina,2006,30551
North Carolina,2007,32027
North Carolina,2008,33776
North Carolina,2009,32800
North Carolina,2010,32634
North Carolina,2011,33158
North Carolina,2012,35316
North Carolina,2013,34277
North Carolina,2014,35986
North Dakota,1984,11322
North Dakota,1985,11775
North Dakota,1986,12141
North Dakota,1987,12601
North Dakota,1988,11669
North Dakota,1989,13292
North Dakota,1990,14590
North Dakota,1991,14795
North Dakota,1992,16256
North Dakota,1993,16303
North Dakota,1994,17688
North Dakota,1995,17530
North Dakota,1996,19626
North Dakota,1997,19052
North Dakota,1998,21015
North Dakota,1999,21375
North Dakota,2000,23379
North Dakota,2001,23872
North Dakota,2002,24902
North Dakota,2003,27425
North Dakota,2004,27807
North Dakota,2005,29336
North Dakota,2006,30323
North Dakota,2007,33184
North Dakota,2008,36953
North Dakota,2009,36904
North Dakota,2010,40443
North Dakota,2011,44002
North Dakota,2012,50512
North Dakota,2013,48586
North Dakota,2014,50966
Ohio,1984,11737
Ohio,1985,12423
Ohio,1986,13034
Ohio,1987,13511
Ohio,1988,14519
Ohio,1989,15494
Ohio,1990,16380
Ohio,1991,16690
Ohio,1992,17695
Ohio,1993,18259
Ohio,1994,19163
Ohio,1995,19937
Ohio,1996,20641
Ohio,1997,21713
Ohio,1998,22813
Ohio,1999,23492
Ohio,2000,24649
Ohio,2001,25352
Ohio,2002,26135
Ohio,2003,27153
Ohio,2004,28232
Ohio,2005,28899
Ohio,2006,30218
Ohio,2007,31371
Ohio,2008,32604
Ohio,2009,32444
Ohio,2010,33316
Ohio,2011,35121
Ohio,2012,36520
Ohio,2013,36748
Ohio,2014,38198
Oklahoma,1984,11354
Oklahoma,1985,11869
Oklahoma,1986,12279
Oklahoma,1987,12241
Oklahoma,1988,12936
Oklahoma,1989,13754
Oklahoma,1990,14319
Oklahoma,1991,14774
Oklahoma,1992,15567
Oklahoma,1993,16032
Oklahoma,1994,16561
Oklahoma,1995,17118
Oklahoma,1996,17883
Oklahoma,1997,18590
Oklahoma,1998,19379
Oklahoma,1999,19713
Oklahoma,2000,21278
Oklahoma,2001,22552
Oklahoma,2002,23424
Oklahoma,2003,24727
Oklahoma,2004,26693
Oklahoma,2005,28823
Oklahoma,2006,31355
Oklahoma,2007,31956
Oklahoma,2008,35341
Oklahoma,2009,33064
Oklahoma,2010,34329
Oklahoma,2011,36171
Oklahoma,2012,38439
Oklahoma,2013,39956
Oklahoma,2014,42345
Oregon,1984,11467
Oregon,1985,11967
Oregon,1986,12479
Oregon,1987,13036
Oregon,1988,14160
Oregon,1989,15011
Oregon,1990,15965
Oregon,1991,16349
Oregon,1992,17116
Oregon,1993,17869
Oregon,1994,18691
Oregon,1995,19747
Oregon,1996,20791
Oregon,1997,21514
Oregon,1998,22415
Oregon,1999,22779
Oregon,2000,24189
Oregon,2001,24885
Oregon,2002,25317
Oregon,2003,26206
Oregon,2004,27522
Oregon,2005,28263
Oregon,2006,30302
Oregon,2007,31500
Oregon,2008,32421
Oregon,2009,31811
Oregon,2010,32347
Oregon,2011,33311
Oregon,2012,34966
Oregon,2013,34831
Oregon,2014,36874
Pennsylvania,1984,11861
Pennsylvania,1985,12598
Pennsylvania,1986,13261
Pennsylvania,1987,13928
Pennsylvania,1988,15089
Pennsylvania,1989,16269
Pennsylvania,1990,17218
Pennsylvania,1991,17920
Pennsylvania,1992,18804
Pennsylvania,1993,19421
Pennsylvania,1994,19970
Pennsylvania,1995,20751
Pennsylvania,1996,21643
Pennsylvania,1997,22571
Pennsylvania,1998,23659
Pennsylvania,1999,24641
Pennsylvania,2000,26321
Pennsylvania,2001,27471
Pennsylvania,2002,28512
Pennsylvania,2003,29714
Pennsylvania,2004,31446
Pennsylvania,2005,32403
Pennsylvania,2006,33712
Pennsylvania,2007,35453
Pennsylvania,2008,36771
Pennsylvania,2009,36598
Pennsylvania,2010,38068
Pennsylvania,2011,39424
Pennsylvania,2012,41014
Pennsylvania,2013,40953
Pennsylvania,2014,42537
Rhode Island,1984,12388
Rhode Island,1985,13228
Rhode Island,1986,13981
Rhode Island,1987,14631
Rhode Island,1988,16122
Rhode Island,1989,17474
Rhode Island,1990,17943
Rhode Island,1991,18105
Rhode Island,1992,18997
Rhode Island,1993,19728
Rhode Island,1994,20177
Rhode Island,1995,21224
Rhode Island,1996,21751
Rhode Island,1997,22700
Rhode Island,1998,23978
